"","airport","airport_name","carrier_name","arr_delay","arr_flights","avg_delay"
"26","ACK","Nantucket, MA: Nantucket Memorial","Envoy Air",624,50,12.48
"27","ACK","Nantucket, MA: Nantucket Memorial","GoJet Airlines LLC d/b/a United Express",3797,312,12.1698717948718
"28","ACK","Nantucket, MA: Nantucket Memorial","JetBlue Airways",24425,1038,23.5308285163776
"29","ACK","Nantucket, MA: Nantucket Memorial","Republic Airline",4914,528,9.30681818181818
"30","ACT","Waco, TX: Waco Regional","Envoy Air",33,23,1.43478260869565
"31","ACT","Waco, TX: Waco Regional","SkyWest Airlines Inc.",12793,1045,12.2421052631579
"32","ACV","Arcata/Eureka, CA: California Redwood Coast Humboldt County","SkyWest Airlines Inc.",25603,1665,15.3771771771772
"33","ACY","Atlantic City, NJ: Atlantic City International","Spirit Airlines",51822,3032,17.0916886543536
"34","ADK","Adak Island, AK: Adak","Alaska Airlines Network",690,104,6.63461538461539
"35","ADQ","Kodiak, AK: Kodiak Airport","Alaska Airlines Network",6814,790,8.6253164556962
"36","AEX","Alexandria, LA: Alexandria International","Endeavor Air Inc.",4503,714,6.30672268907563
"37","AEX","Alexandria, LA: Alexandria International","SkyWest Airlines Inc.",15046,1095,13.7406392694064
"38","AGS","Augusta, GA: Augusta Regional at Bush Field","American Airlines Network",317,19,16.6842105263158
"39","AGS","Augusta, GA: Augusta Regional at Bush Field","Delta Air Lines Network",846,22,38.4545454545455
"40","AGS","Augusta, GA: Augusta Regional at Bush Field","Endeavor Air Inc.",6812,925,7.36432432432432
"41","AGS","Augusta, GA: Augusta Regional at Bush Field","Envoy Air",7445,521,14.2898272552783
"42","AGS","Augusta, GA: Augusta Regional at Bush Field","PSA Airlines Inc.",10560,1029,10.2623906705539
"43","AGS","Augusta, GA: Augusta Regional at Bush Field","Piedmont Airlines",9910,1141,8.68536371603856
"44","AGS","Augusta, GA: Augusta Regional at Bush Field","Republic Airline",319,26,12.2692307692308
"45","AGS","Augusta, GA: Augusta Regional at Bush Field","SkyWest Airlines Inc.",15974,1099,14.5350318471338
"46","AKN","King Salmon, AK: King Salmon Airport","Alaska Airlines Network",1409,215,6.55348837209302
"47","AKN","King Salmon, AK: King Salmon Airport","Horizon Air",3866,317,12.1955835962145
"48","ALB","Albany, NY: Albany International","Air Wisconsin Airlines Corp",1491,121,12.3223140495868
"49","ALB","Albany, NY: Albany International","Allegiant Air",6564,551,11.9128856624319
"50","ALB","Albany, NY: Albany International","American Airlines Network",19005,1028,18.4873540856031
"51","ALB","Albany, NY: Albany International","CommuteAir LLC dba CommuteAir",15862,1089,14.5656565656566
"52","ALB","Albany, NY: Albany International","Delta Air Lines Network",18551,1207,15.3695111847556
"53","ALB","Albany, NY: Albany International","Endeavor Air Inc.",12009,1390,8.63956834532374
"54","ALB","Albany, NY: Albany International","Envoy Air",704,72,9.77777777777778
"55","ALB","Albany, NY: Albany International","GoJet Airlines LLC d/b/a United Express",1969,259,7.6023166023166
"56","ALB","Albany, NY: Albany International","JetBlue Airways",22880,643,35.5832037325039
"57","ALB","Albany, NY: Albany International","Mesa Airlines Inc.",262,2,131
"58","ALB","Albany, NY: Albany International","PSA Airlines Inc.",14331,1296,11.0578703703704
"59","ALB","Albany, NY: Albany International","Piedmont Airlines",21603,1565,13.8038338658147
"60","ALB","Albany, NY: Albany International","Republic Airline",5973,906,6.59271523178808
"61","ALB","Albany, NY: Albany International","SkyWest Airlines Inc.",7136,651,10.9615975422427
"62","ALB","Albany, NY: Albany International","Southwest Airlines",42211,3371,12.5218036191041
"63","ALB","Albany, NY: Albany International","United Air Lines Network",9535,779,12.2400513478819
"64","ALO","Waterloo, IA: Waterloo Regional","Air Wisconsin Airlines Corp",7961,568,14.0158450704225
"65","ALO","Waterloo, IA: Waterloo Regional","Envoy Air",953,75,12.7066666666667
"66","ALO","Waterloo, IA: Waterloo Regional","Piedmont Airlines",694,43,16.1395348837209
"67","ALW","Walla Walla, WA: Walla Walla Regional","Horizon Air",726,137,5.2992700729927
"68","ALW","Walla Walla, WA: Walla Walla Regional","SkyWest Airlines Inc.",1840,344,5.34883720930233
"69","AMA","Amarillo, TX: Rick Husband Amarillo International","American Airlines Network",28054,761,36.8646517739816
"70","AMA","Amarillo, TX: Rick Husband Amarillo International","CommuteAir LLC dba CommuteAir",5009,423,11.8416075650118
"71","AMA","Amarillo, TX: Rick Husband Amarillo International","Envoy Air",6841,1002,6.82734530938124
"72","AMA","Amarillo, TX: Rick Husband Amarillo International","Mesa Airlines Inc.",2851,123,23.1788617886179
"73","AMA","Amarillo, TX: Rick Husband Amarillo International","SkyWest Airlines Inc.",17849,1109,16.0946798917944
"74","AMA","Amarillo, TX: Rick Husband Amarillo International","Southwest Airlines",22525,2409,9.35035284350353
"75","ANC","Anchorage, AK: Ted Stevens Anchorage International","Alaska Airlines Network",130400,13958,9.34231265224244
"76","ANC","Anchorage, AK: Ted Stevens Anchorage International","American Airlines Network",10815,462,23.4090909090909
"77","ANC","Anchorage, AK: Ted Stevens Anchorage International","Delta Air Lines Network",20508,2364,8.6751269035533
"78","ANC","Anchorage, AK: Ted Stevens Anchorage International","Horizon Air",35225,3524,9.99574347332577
"79","ANC","Anchorage, AK: Ted Stevens Anchorage International","United Air Lines Network",17285,1066,16.2148217636023
"80","APN","Alpena, MI: Alpena County Regional","SkyWest Airlines Inc.",6590,451,14.6119733924612
"81","ART","Watertown, NY: Watertown International","Air Wisconsin Airlines Corp",1209,13,93
"82","ART","Watertown, NY: Watertown International","Piedmont Airlines",3440,681,5.05139500734214
"83","ASE","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest Airlines Inc.",142538,6591,21.6261568805947
"84","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Air Wisconsin Airlines Corp",0,1,0
"85","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Alaska Airlines Network",9807,1147,8.55013077593723
"86","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Airlines Network",184733,8593,21.4980798324217
"87","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta Air Lines Network",2390432,219927,10.8692066003719
"88","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Endeavor Air Inc.",212807,20568,10.3465091404123
"89","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Envoy Air",5113,503,10.1650099403579
"90","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Frontier Airlines",329232,10531,31.2631279080809
"91","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","JetBlue Airways",99311,3589,27.6709389802173
"92","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Mesa Airlines Inc.",7593,442,17.1787330316742
"93","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","PSA Airlines Inc.",13503,1237,10.9159256265158
"94","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Republic Airline",15925,2204,7.22549909255898
"95","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest Airlines Inc.",168623,9737,17.3177570093458
"96","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Southwest Airlines",380716,36667,10.383069244825
"97","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","Spirit Airlines",274905,13658,20.1277639478694
"98","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","United Air Lines Network",126681,8098,15.6434922203013
"99","ATW","Appleton, WI: Appleton International","Air Wisconsin Airlines Corp",38030,1608,23.6504975124378
"100","ATW","Appleton, WI: Appleton International","Allegiant Air",41294,1180,34.9949152542373
"101","ATW","Appleton, WI: Appleton International","Delta Air Lines Network",1963,358,5.48324022346369
"102","ATW","Appleton, WI: Appleton International","Endeavor Air Inc.",1852,215,8.61395348837209
"103","ATW","Appleton, WI: Appleton International","Envoy Air",5053,319,15.8401253918495
"104","ATW","Appleton, WI: Appleton International","GoJet Airlines LLC d/b/a United Express",102,1,102
"105","ATW","Appleton, WI: Appleton International","Piedmont Airlines",757,32,23.65625
"106","ATW","Appleton, WI: Appleton International","SkyWest Airlines Inc.",38059,2846,13.3728039353479
"107","AUS","Austin, TX: Austin - Bergstrom International","Alaska Airlines Network",28336,2850,9.94245614035088
"108","AUS","Austin, TX: Austin - Bergstrom International","Allegiant Air",23728,1274,18.6248037676609
"109","AUS","Austin, TX: Austin - Bergstrom International","American Airlines Network",310889,15627,19.894349523261
"110","AUS","Austin, TX: Austin - Bergstrom International","CommuteAir LLC dba CommuteAir",0,2,0
"111","AUS","Austin, TX: Austin - Bergstrom International","Delta Air Lines Network",136201,10761,12.6569092091813
"112","AUS","Austin, TX: Austin - Bergstrom International","Endeavor Air Inc.",6173,709,8.70662905500705
"113","AUS","Austin, TX: Austin - Bergstrom International","Envoy Air",88320,8488,10.4052780395853
"114","AUS","Austin, TX: Austin - Bergstrom International","Frontier Airlines",4649,319,14.5736677115987
"115","AUS","Austin, TX: Austin - Bergstrom International","Hawaiian Airlines Network",2779,170,16.3470588235294
"116","AUS","Austin, TX: Austin - Bergstrom International","Horizon Air",1854,210,8.82857142857143
"117","AUS","Austin, TX: Austin - Bergstrom International","JetBlue Airways",29607,1192,24.8380872483221
"118","AUS","Austin, TX: Austin - Bergstrom International","Mesa Airlines Inc.",9805,547,17.9250457038391
"119","AUS","Austin, TX: Austin - Bergstrom International","Republic Airline",2000,88,22.7272727272727
"120","AUS","Austin, TX: Austin - Bergstrom International","SkyWest Airlines Inc.",39099,1977,19.7769347496206
"121","AUS","Austin, TX: Austin - Bergstrom International","Southwest Airlines",366855,37513,9.77940980460107
"122","AUS","Austin, TX: Austin - Bergstrom International","Spirit Airlines",45875,2453,18.7015898899307
"123","AUS","Austin, TX: Austin - Bergstrom International","United Air Lines Network",131997,9392,14.0541950596252
"124","AVL","Asheville, NC: Asheville Regional","Air Wisconsin Airlines Corp",4519,188,24.0372340425532
"125","AVL","Asheville, NC: Asheville Regional","Allegiant Air",77487,3137,24.7009882052917
"126","AVL","Asheville, NC: Asheville Regional","American Airlines Network",30447,1118,27.2334525939177
"127","AVL","Asheville, NC: Asheville Regional","Delta Air Lines Network",19271,2113,9.12020823473734
"128","AVL","Asheville, NC: Asheville Regional","Endeavor Air Inc.",6385,774,8.24935400516796
"129","AVL","Asheville, NC: Asheville Regional","Envoy Air",10448,636,16.4276729559748
"130","AVL","Asheville, NC: Asheville Regional","GoJet Airlines LLC d/b/a United Express",1267,254,4.98818897637795
"131","AVL","Asheville, NC: Asheville Regional","JetBlue Airways",2369,83,28.5421686746988
"132","AVL","Asheville, NC: Asheville Regional","PSA Airlines Inc.",14742,1677,8.7906976744186
"133","AVL","Asheville, NC: Asheville Regional","Piedmont Airlines",5651,619,9.12924071082391
"134","AVL","Asheville, NC: Asheville Regional","Republic Airline",7765,955,8.13089005235602
"135","AVL","Asheville, NC: Asheville Regional","SkyWest Airlines Inc.",8661,720,12.0291666666667
"136","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Air Wisconsin Airlines Corp",2704,159,17.0062893081761
"137","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","American Airlines Network",12390,659,18.8012139605463
"138","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Envoy Air",1665,236,7.05508474576271
"139","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","GoJet Airlines LLC d/b/a United Express",9125,591,15.4399323181049
"140","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","PSA Airlines Inc.",3704,404,9.16831683168317
"141","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Republic Airline",2009,175,11.48
"142","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","SkyWest Airlines Inc.",13429,568,23.6426056338028
"143","AZA","Phoenix, AZ: Phoenix - Mesa Gateway","Allegiant Air",102269,5452,18.7580704328687
"144","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Air Wisconsin Airlines Corp",16734,669,25.0134529147982
"145","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Endeavor Air Inc.",5914,526,11.2433460076046
"146","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Envoy Air",662,53,12.4905660377358
"147","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Piedmont Airlines",588,51,11.5294117647059
"148","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","SkyWest Airlines Inc.",2188,284,7.70422535211268
"149","BDL","Hartford, CT: Bradley International","American Airlines Network",58963,2995,19.6871452420701
"150","BDL","Hartford, CT: Bradley International","CommuteAir LLC dba CommuteAir",910,35,26
"151","BDL","Hartford, CT: Bradley International","Delta Air Lines Network",35178,3900,9.02
"152","BDL","Hartford, CT: Bradley International","Endeavor Air Inc.",6473,456,14.1951754385965
"153","BDL","Hartford, CT: Bradley International","Envoy Air",2267,317,7.15141955835962
"154","BDL","Hartford, CT: Bradley International","Frontier Airlines",29217,987,29.6018237082067
"155","BDL","Hartford, CT: Bradley International","GoJet Airlines LLC d/b/a United Express",459,23,19.9565217391304
"156","BDL","Hartford, CT: Bradley International","JetBlue Airways",99385,3388,29.3344155844156
"157","BDL","Hartford, CT: Bradley International","Mesa Airlines Inc.",11176,693,16.1269841269841
"158","BDL","Hartford, CT: Bradley International","PSA Airlines Inc.",15088,1541,9.7910447761194
"159","BDL","Hartford, CT: Bradley International","Piedmont Airlines",4820,501,9.62075848303393
"160","BDL","Hartford, CT: Bradley International","Republic Airline",8719,1453,6.0006882312457
"161","BDL","Hartford, CT: Bradley International","SkyWest Airlines Inc.",1338,117,11.4358974358974
"162","BDL","Hartford, CT: Bradley International","Southwest Airlines",49591,3945,12.5705956907478
"163","BDL","Hartford, CT: Bradley International","Spirit Airlines",15568,840,18.5333333333333
"164","BDL","Hartford, CT: Bradley International","United Air Lines Network",25451,1717,14.8229470005824
"165","BET","Bethel, AK: Bethel Airport","Alaska Airlines Network",6537,722,9.05401662049861
"166","BFF","Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field","SkyWest Airlines Inc.",7104,606,11.7227722772277
"167","BFL","Bakersfield, CA: Meadows Field","American Airlines Network",18842,830,22.7012048192771
"168","BFL","Bakersfield, CA: Meadows Field","Envoy Air",3298,284,11.612676056338
"169","BFL","Bakersfield, CA: Meadows Field","Mesa Airlines Inc.",0,1,0
"170","BFL","Bakersfield, CA: Meadows Field","SkyWest Airlines Inc.",17225,1502,11.4680426098535
"171","BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field","Endeavor Air Inc.",10040,658,15.258358662614
"172","BGR","Bangor, ME: Bangor International","Allegiant Air",3898,391,9.9693094629156
"173","BGR","Bangor, ME: Bangor International","American Airlines Network",8347,570,14.6438596491228
"174","BGR","Bangor, ME: Bangor International","Endeavor Air Inc.",13444,1494,8.99866131191432
"175","BGR","Bangor, ME: Bangor International","Envoy Air",1229,161,7.63354037267081
"176","BGR","Bangor, ME: Bangor International","GoJet Airlines LLC d/b/a United Express",1714,89,19.2584269662921
"177","BGR","Bangor, ME: Bangor International","PSA Airlines Inc.",16134,1026,15.7251461988304
"178","BGR","Bangor, ME: Bangor International","Piedmont Airlines",4402,354,12.4350282485876
"179","BGR","Bangor, ME: Bangor International","Republic Airline",8811,962,9.15904365904366
"180","BGR","Bangor, ME: Bangor International","SkyWest Airlines Inc.",1133,110,10.3
"181","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Air Wisconsin Airlines Corp",2952,165,17.8909090909091
"182","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","American Airlines Network",28415,925,30.7189189189189
"183","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","CommuteAir LLC dba CommuteAir",4811,293,16.419795221843
"184","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Delta Air Lines Network",25613,2718,9.42347314201619
"185","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Endeavor Air Inc.",11753,1054,11.1508538899431
"186","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Envoy Air",17324,1646,10.5249088699878
"187","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","GoJet Airlines LLC d/b/a United Express",1862,196,9.5
"188","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Mesa Airlines Inc.",25584,895,28.5854748603352
"189","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","PSA Airlines Inc.",35805,3287,10.892911469425
"190","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Piedmont Airlines",86,8,10.75
"191","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Republic Airline",4275,498,8.58433734939759
"192","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","SkyWest Airlines Inc.",24100,1853,13.0059363194819
"193","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Southwest Airlines",48812,3942,12.3825469304921
"194","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","United Air Lines Network",64,23,2.78260869565217
"195","BIH","Bishop, CA: Bishop Airport","SkyWest Airlines Inc.",4619,257,17.9727626459144
"196","BIL","Billings, MT: Billings Logan International","Allegiant Air",3669,256,14.33203125
"197","BIL","Billings, MT: Billings Logan International","CommuteAir LLC dba CommuteAir",1288,116,11.1034482758621
"198","BIL","Billings, MT: Billings Logan International","Delta Air Lines Network",11618,795,14.6138364779874
"199","BIL","Billings, MT: Billings Logan International","Envoy Air",5231,652,8.02300613496933
"200","BIL","Billings, MT: Billings Logan International","Horizon Air",4862,800,6.0775
"201","BIL","Billings, MT: Billings Logan International","Mesa Airlines Inc.",3825,165,23.1818181818182
"202","BIL","Billings, MT: Billings Logan International","SkyWest Airlines Inc.",6384,1053,6.06267806267806
"203","BIL","Billings, MT: Billings Logan International","United Air Lines Network",13107,728,18.0041208791209
"204","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Allegiant Air",4141,382,10.8403141361257
"205","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Delta Air Lines Network",6463,356,18.1544943820225
"206","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Endeavor Air Inc.",244,1,244
"207","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Envoy Air",3518,382,9.20942408376963
"208","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Mesa Airlines Inc.",528,24,22
"209","BIS","Bismarck/Mandan, ND: Bismarck Municipal","SkyWest Airlines Inc.",23200,2376,9.76430976430976
"210","BJI","Bemidji, MN: Bemidji Regional","SkyWest Airlines Inc.",6860,712,9.63483146067416
"211","BLI","Bellingham, WA: Bellingham International","Allegiant Air",10906,966,11.2898550724638
"212","BLI","Bellingham, WA: Bellingham International","Horizon Air",1132,228,4.96491228070175
"213","BLI","Bellingham, WA: Bellingham International","SkyWest Airlines Inc.",2396,602,3.98006644518272
"214","BLI","Bellingham, WA: Bellingham International","Southwest Airlines",12146,1058,11.4801512287335
"215","BLV","Belleville, IL: Scott AFB MidAmerica St Louis","Allegiant Air",12466,984,12.6686991869919
"216","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Air Wisconsin Airlines Corp",8448,475,17.7852631578947
"217","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Allegiant Air",2539,218,11.6467889908257
"218","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Endeavor Air Inc.",653,201,3.24875621890547
"219","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Envoy Air",4911,653,7.52067381316999
"220","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Frontier Airlines",1467,94,15.6063829787234
"221","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Mesa Airlines Inc.",2546,67,38
"222","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Piedmont Airlines",3202,183,17.4972677595628
"223","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","SkyWest Airlines Inc.",9874,616,16.0292207792208
"224","BNA","Nashville, TN: Nashville International","Alaska Airlines Network",7079,834,8.48800959232614
"225","BNA","Nashville, TN: Nashville International","Allegiant Air",85523,4130,20.7077481840194
"226","BNA","Nashville, TN: Nashville International","American Airlines Network",159114,8119,19.5977337110482
"227","BNA","Nashville, TN: Nashville International","CommuteAir LLC dba CommuteAir",112,4,28
"228","BNA","Nashville, TN: Nashville International","Delta Air Lines Network",81013,8228,9.84601361205639
"229","BNA","Nashville, TN: Nashville International","Endeavor Air Inc.",9534,928,10.2737068965517
"230","BNA","Nashville, TN: Nashville International","Envoy Air",33863,2898,11.6849551414769
"231","BNA","Nashville, TN: Nashville International","Frontier Airlines",18185,1111,16.3681368136814
"232","BNA","Nashville, TN: Nashville International","GoJet Airlines LLC d/b/a United Express",958,97,9.87628865979381
"233","BNA","Nashville, TN: Nashville International","JetBlue Airways",55361,2220,24.9373873873874
"234","BNA","Nashville, TN: Nashville International","Mesa Airlines Inc.",11061,759,14.5731225296443
"235","BNA","Nashville, TN: Nashville International","PSA Airlines Inc.",28841,2843,10.1445655997186
"236","BNA","Nashville, TN: Nashville International","Piedmont Airlines",86,5,17.2
"237","BNA","Nashville, TN: Nashville International","Republic Airline",30428,4497,6.76628863686902
"238","BNA","Nashville, TN: Nashville International","SkyWest Airlines Inc.",48150,2729,17.6438255771345
"239","BNA","Nashville, TN: Nashville International","Southwest Airlines",453500,48264,9.39623736118017
"240","BNA","Nashville, TN: Nashville International","Spirit Airlines",60095,3262,18.4227467811159
"241","BNA","Nashville, TN: Nashville International","United Air Lines Network",95605,6436,14.8547234307023
"242","BOI","Boise, ID: Boise Air Terminal","Alaska Airlines Network",7417,953,7.78279118572928
"243","BOI","Boise, ID: Boise Air Terminal","Allegiant Air",7777,348,22.3477011494253
"244","BOI","Boise, ID: Boise Air Terminal","American Airlines Network",27751,1368,20.2858187134503
"245","BOI","Boise, ID: Boise Air Terminal","Delta Air Lines Network",23059,2639,8.73777946191739
"246","BOI","Boise, ID: Boise Air Terminal","Envoy Air",1201,125,9.608
"247","BOI","Boise, ID: Boise Air Terminal","Horizon Air",27213,4100,6.63731707317073
"248","BOI","Boise, ID: Boise Air Terminal","Mesa Airlines Inc.",1168,56,20.8571428571429
"249","BOI","Boise, ID: Boise Air Terminal","SkyWest Airlines Inc.",74859,9471,7.90402280646183
"250","BOI","Boise, ID: Boise Air Terminal","Southwest Airlines",47464,4203,11.2928860337854
"251","BOI","Boise, ID: Boise Air Terminal","Spirit Airlines",6740,468,14.4017094017094
"252","BOI","Boise, ID: Boise Air Terminal","United Air Lines Network",20330,1557,13.0571612074502
"253","BOS","Boston, MA: Logan International","Alaska Airlines Network",31092,2514,12.3675417661098
"254","BOS","Boston, MA: Logan International","Allegiant Air",4019,511,7.86497064579256
"255","BOS","Boston, MA: Logan International","American Airlines Network",302700,15982,18.9400575647604
"256","BOS","Boston, MA: Logan International","Delta Air Lines Network",396419,26109,15.1832318357654
"257","BOS","Boston, MA: Logan International","Endeavor Air Inc.",0,16,0
"258","BOS","Boston, MA: Logan International","Envoy Air",25798,1759,14.6662876634451
"259","BOS","Boston, MA: Logan International","Frontier Airlines",8856,525,16.8685714285714
"260","BOS","Boston, MA: Logan International","Hawaiian Airlines Network",3317,222,14.9414414414414
"261","BOS","Boston, MA: Logan International","JetBlue Airways",1178663,44641,26.4031495710222
"262","BOS","Boston, MA: Logan International","Mesa Airlines Inc.",989,35,28.2571428571429
"263","BOS","Boston, MA: Logan International","Piedmont Airlines",18527,1361,13.6127847171198
"264","BOS","Boston, MA: Logan International","Republic Airline",206108,22932,8.98778998778999
"265","BOS","Boston, MA: Logan International","SkyWest Airlines Inc.",38936,1992,19.5461847389558
"266","BOS","Boston, MA: Logan International","Southwest Airlines",98009,6172,15.8796176279974
"267","BOS","Boston, MA: Logan International","Spirit Airlines",109993,4883,22.5257014130657
"268","BOS","Boston, MA: Logan International","United Air Lines Network",172627,12264,14.0759132420091
"269","BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional","Envoy Air",156,47,3.31914893617021
"270","BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional","SkyWest Airlines Inc.",13710,680,20.1617647058824
"271","BQK","Brunswick, GA: Brunswick Golden Isles","Endeavor Air Inc.",5953,495,12.0262626262626
"272","BQK","Brunswick, GA: Brunswick Golden Isles","SkyWest Airlines Inc.",3064,234,13.0940170940171
"273","BQN","Aguadilla, PR: Rafael Hernandez","Frontier Airlines",10823,440,24.5977272727273
"274","BQN","Aguadilla, PR: Rafael Hernandez","JetBlue Airways",40962,1455,28.1525773195876
"275","BQN","Aguadilla, PR: Rafael Hernandez","Spirit Airlines",18593,638,29.1426332288401
"276","BQN","Aguadilla, PR: Rafael Hernandez","United Air Lines Network",10449,365,28.627397260274
"277","BRD","Brainerd, MN: Brainerd Lakes Regional","SkyWest Airlines Inc.",4609,622,7.40996784565916
"278","BRO","Brownsville, TX: Brownsville South Padre Island International","CommuteAir LLC dba CommuteAir",14309,1386,10.3239538239538
